sym,uniprot,tdl,protein_id
LINC01558,Q9Y6Z2,Tdark,3051
C6orf132,Q5T0Z8,Tdark,3052
CFAP99,D6REC4,Tdark,3060
LINC01006,Q8NI28,Tdark,3064
C8orf49,Q96NF6,Tdark,3074
TRMT9B,Q8N9K7,Tdark,3075
C8orf87,E5RJ46,Tdark,3076
LINC00474,Q9P2X8,Tdark,3091
C9orf47,Q6ZRZ4,Tdark,3093
C9orf62,Q8N4C0,Tdark,3094
C9orf66,Q5T8R8,Tdark,3095
C9orf106,Q8NAJ2,Tdark,3098
LINC00476,Q8WZB0,Tdark,3099
C9orf139,Q6ZV77,Tdark,3101
C9orf170,A2RU37,Tdark,3102
LINC00575,Q6W349,Tdark,3109
C4orf47,A7E2U8,Tdark,3112
CDK11B,P21127,Tchem,3114
CEACAM20,Q6UY09,Tdark,3153
CEBPZOS,A8MTT3,Tdark,3155
CEMP1,Q6PRD7,Tbio,3157
CFAP70,Q5T0N1,Tdark,3175
CGB2,Q6NT52,Tdark,3182
C8orf31,Q8N9H6,Tdark,3184
C12orf42,Q96LP6,Tdark,3197
LINC01465,Q8N7H1,Tdark,3202
LINC00469,Q8N7U9,Tdark,3259
C17orf77,Q96MU5,Tdark,3262
C17orf82,Q86X59,Tdark,3263
C17orf99,Q6UX52,Tdark,3264
C17orf102,A2RUQ5,Tdark,3265
C17orf107,Q6ZR85,Tdark,3266
LINC00470,Q9BZP3,Tdark,3267
CDPF1,Q6NVV7,Tdark,3290
CHST7,Q9NS84,Tbio,3313
ARRDC1-AS1,Q9H2J1,Tdark,3317
C9orf57,Q5W0N0,Tdark,3318
C9orf84,Q5VXU9,Tdark,3319
C10orf62,Q5T681,Tdark,3327
C10orf105,Q8TEF2,Tdark,3330
C11orf21,Q9P2W6,Tdark,3333
LINC00167,Q96N53,Tdark,3335
C11orf53,Q8IXP5,Tdark,3337
C11orf88,Q6PI97,Tdark,3340
C15orf65,H3BRN8,Tdark,3352
LINC00346,Q8IVM7,Tdark,3357
COL5A1-AS1,Q5SY13,Tdark,3440
C17orf47,Q8NEP4,Tdark,3464
LINC00305,Q7Z4B0,Tdark,3470
LINC01387,J3KSC0,Tdark,3471
C16orf47,Q6ZP98,Tdark,3497
C17orf98,A8MV24,Tdark,3513
CRYM-AS1,A6NIL9,Tdark,3519
LINC01549,A6NIU2,Tdark,3530
CLUHP3,Q96NS8,Tdark,3534
CMC4,P56277,Tdark,3536
C14orf144,Q96I85,Tdark,3542
LINC01599,Q8WXQ3,Tdark,3543
C15orf54,Q8N8G6,Tdark,3554
COG8,Q96MW5,Tbio,3569
CLPSL2,Q6UWE3,Tdark,3587
CYP4Z2P,Q8N1L4,Tdark,3617
LINC00526,Q96FQ7,Tdark,3630
C18orf65,Q6ZTR6,Tdark,3632
C19orf81,C9J6K1,Tdark,3643
C19orf84,I3L1E1,Tdark,3644
C10orf67,Q8IYJ2,Tdark,3656
C10orf88,Q9H8K7,Tdark,3657
C10orf120,Q5SQS8,Tdark,3659
LINC00523,Q86TU6,Tdark,3706
TEDC1,Q86SX3,Tdark,3707
CSNK1G2-AS1,Q8NCQ2,Tdark,3710
C15orf40,Q8WUR7,Tdark,3723
LINC00614,P0C842,Tdark,3741
C11orf16,Q9NQ32,Tdark,3743
LINC01619,G3V211,Tdark,3752
CLLU1,Q5K131,Tbio,3776
C14orf132,Q9NPU4,Tdark,3788
CNK3/IPCEF1,G9CGD6,Tdark,3795
C20orf187,Q9UGB4,Tdark,3847
C20orf202,A1L168,Tdark,3848
CT45A1,Q5HYN5,Tbio,3849
LINC00114,Q6XXX2,Tdark,3857
LINC00322,Q6ZN03,Tdark,3859
DEFB131B,A0A096LNP1,Tdark,3885
C19orf71,A6NCJ1,Tdark,3909
C16orf91,Q4G0I0,Tdark,3918
CT45A2,P0DMV2,Tdark,3924
CT62,P0C5K7,Tdark,3926
CTAGE8,Q8IX94,Tdark,3931
LINC00528,Q8N1L1,Tdark,3947
CXorf65,A6NEN9,Tdark,3951
CST9L,Q9H4G1,Tbio,3973
LINC01620,Q4KN68,Tdark,3975
C20orf173,Q96LM9,Tdark,3978
CT45A6,P0DMV0,Tdark,3981
CT45A10,P0DMU9,Tdark,3982
CTAGE1,Q96RT6,Tdark,3986
CTAGE15,A4D2H0,Tdark,3988
LINC00846,Q9NV44,Tdark,4001
CWC25,Q9NXE8,Tdark,4005
LINC01560,Q8TB33,Tdark,4007
RTL8C,O15255,Tdark,4030
DANCR,P0C864,Tdark,4048
CYSRT1,A8MQ03,Tdark,4057
CIRBP-AS1,Q8TBR5,Tdark,4065
VENTXP1,P0C5K6,Tdark,4081
NCOR1P1,Q9H4R4,Tdark,4082
CTAGE9,A4FU28,Tdark,4093
LINC00308,Q8TCZ7,Tdark,4103
LINC00310,P59036,Tdark,4104
C22orf24,Q9Y442,Tdark,4109
LINC01545,Q5VT33,Tdark,4110
LINC00527,Q9UJ94,Tdark,4129
CXorf1,O96002,Tbio,4132
DAZ1,Q9NQZ3,Tbio,4170
DEFB108A,A8MXU0,Tdark,4171
DEFB114,Q30KQ6,Tbio,4174
DEFB121,Q5J5C9,Tdark,4175
LINC00304,Q8N9R0,Tdark,4212
C17orf78,Q8N4C9,Tdark,4230
CROCCP3,Q8IVE0,Tdark,4252
C19orf44,Q9H6X5,Tdark,4257
C20orf78,Q9BR46,Tdark,4275
CT45A6,P0DMU7,Tdark,4281
C22orf31,O95567,Tdark,4301
DDX11L8,A8MPP1,Tdark,4312
DPY19L2P1,Q6NXN4,Tdark,4317
DACH1,Q9UI36,Tbio,4342
DEFB133,Q30KQ1,Tdark,4350
DEFB134,Q4QY38,Tdark,4351
DGAT2L7P,Q6IED9,Tbio,4507
DHRS11,Q6UWP2,Tbio,4513
DND1,Q8IYX4,Tbio,4521
DNAJC9-AS1,A6NH13,Tdark,4605
HMGN2P46,Q86SG4,Tdark,4775
DSCR10,P59022,Tdark,4820
DUX4L4,P0CJ87,Tdark,4828
DUX4L6,P0CJ89,Tdark,4829
EP400P1,Q6ZTU2,Tdark,4847
HLA-DRB3,P79483,Tchem,4865
DUX4L5,P0CJ88,Tdark,4872
DUX4L7,P0CJ90,Tdark,4873
DUX4,Q9UBX2,Tbio,4875
EEF1A1P5,Q5VTE0,Tdark,4907
EFCAB10,A6NFE3,Tdark,4909
,Q6ZN92,Tdark,4939
DVL1P1,P54792,Tdark,4940
EFCAB14,O75071,Tdark,4958
DSCR9,P59020,Tdark,4971
DUX4L2,P0CJ85,Tdark,4978
,P0DN84,Tdark,4985
EBLN2,Q6P2I7,Tdark,5083
EDDM13,A0A1B0GTR0,Tdark,5091
ERVK-18,O42043,Tdark,5112
ERVK-21,P61565,Tdark,5113
ERVK-5,Q9HDB8,Tdark,5114
ERVK-7,P61567,Tdark,5116
EMILIN3,Q9NT22,Tdark,5293
,Q9N2K0,Tdark,5351
C21orf33,P30042,Tbio,5371
FAM183BP,Q6ZVS7,Tdark,5407
FAM200A,Q8TCP9,Tdark,5415
FAM240A,A0A1B0GVK7,Tdark,5420
FAM27E3,Q08E93,Tdark,5423
FAM71E1,Q6IPT2,Tdark,5424
FAM90A7P,A6NKC0,Tdark,5428
FAM90A27P,A6NNH2,Tdark,5432
FAM201A,Q5SY85,Tdark,5519
FAM236D,A0A1B0GTK5,Tdark,5525
FAM86JP,Q05BU3,Tdark,5526
F8A1,P23610,Tbio,5527
FAM90A13P,P0C7W8,Tdark,5530
FAM87A,P0C7U9,Tdark,5536
FAM169B,Q8N8A8,Tdark,5548
FAM200B,P0CF97,Tdark,5555
,Q9N2J8,Tdark,5628
ERVK13-1,Q9NX77,Tdark,5631
ERVK-19,O71037,Tdark,5632
ERVK-25,P61570,Tdark,5634
ERVK-8,Q902F8,Tdark,5635
ERVK-9,Q9UKH3,Tdark,5636
CDIPT-AS1,P0DO92,Tdark,5639
ERVS71-1,P61550,Tdark,5641
EPPK1,P58107,Tdark,5655
FAM157C,P0CG43,Tdark,5695
FAM220BP,B1ANY3,Tdark,5709
FAM231D,Q6ZW35,Tdark,5715
FAM237A,A0A1B0GTK4,Tdark,5717
FAM90A20P,A6NIJ5,Tdark,5722
FBXL19-AS1,Q494R0,Tdark,5758
FAM27B,Q5VT28,Tdark,5805
FCGBP,Q9Y6R7,Tbio,5824
FER1L6-AS1,Q8NA97,Tdark,5831
FAM25C,B3EWG5,Tdark,5861
ERVK-25,P61579,Tdark,5865
EXOC3-AS1,Q8N2X6,Tdark,5876
FAM106CP,P0CH98,Tdark,5886
ST13P5,Q8NFI4,Tdark,5888
FAM205BP,Q63HN1,Tdark,5902
FAM209B,Q5JX69,Tdark,5903
FAM227B,Q96M60,Tdark,5905
FAM229A,H3BQW9,Tdark,5906
FAM231A,P0DMU4,Tdark,5907
FAM240B,A0A1B0GVZ2,Tdark,5909
FAM241B,Q96D05,Tdark,5910
FAM74A1,Q5RGS3,Tdark,5915
FAM86C2P,A6NEL3,Tdark,5916
FAM90A18P,A6NE21,Tdark,5918
FCGR2C,P31995,Tbio,5949
FAM106A,Q4KMX7,Tdark,5962
FAM153C,Q494X1,Tdark,5969
FAM182A,Q5T1J6,Tdark,5978
FAM187A,A6NFU0,Tdark,5980
FAM196B,A6NMK8,Tdark,5983
FAM218A,Q96MZ4,Tdark,5986
FAM223B,A6NKX1,Tdark,5989
